,Image_name,Image_url
117,Initializing_Weights_In_Feedforward_Neural_Networks,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2fe15fcc03e6551a520/1539363587828/Initializing_Weights_In_Feedforward_Neural_Networks_web.png
118,Instrumental_Variables,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2ff1905f4e84ce86846/1539363585568/Instrumental_Variables_web.png
119,Interaction_Term,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2ff15fcc03e6551a523/1539363589198/Interaction_Term_web.png
120,Intercept_Term,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d300ec212d165b19f723/1539363589388/Intercept_Term_web.png
121,Interpolation,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d300652dea62336cc155/1539363585872/Interpolation_web.png
122,Interquartile_Range,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d300a4222f3ac53da9cf/1539363588484/Interquartile_Range_web.png
123,Issues_With_Platt_Scaling,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d3018165f5ad87084878/1539363587258/Issues_With_Platt_Scaling_web.png
124,Jacobian_Matrix,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d3014192021958778f46/1539363588579/Jacobian_Matrix_web.png
125,Joins,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d302085229c3731ef5a3/1539363589191/Joins_web.png
126,K-Fold_Cross-Validation,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d303e2c483f1ebac7814/1539363589610/K-Fold_Cross-Validation_web.png
127,K-Means_Clustering,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d3044192021958778f8a/1539363592530/K-Means_Clustering_web.png
128,K-Nearest_Neighbors_Tips_And_Tricks,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d304a4222f3ac53da9f4/1539363590472/K-Nearest_Neighbors_Tips_And_Tricks_web.png
129,k-Nearest_Neighbors,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d3057817f7b0e23c06ac/1539363593502/k-Nearest_Neighbors_web.png
130,K-NN_Neighborhood_Size,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d306652dea62336cc192/1539363593239/K-NN_Neighborhood_Size_web.png
131,Kernel_PCA,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d3060d929751ee48d53c/1539363593295/Kernel_PCA_web.png
132,Kernel_Trick,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d30771c10b49df59b6dc/1539363594816/Kernel_Trick_web.png
133,L1_Norm,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d308e4966b62fe03908e/1539363596268/L1_Norm_web.png
134,L2_Norm,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d309e5e5f0c22ccc85f1/1539363595906/L2_Norm_web.png
135,Lasso_For_Feature_Selection,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d30aa4222f3ac53daa57/1539363596628/Lasso_For_Feature_Selection_web.png
136,Leaky_ReLU,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d30a652dea62336cc1d6/1539363596969/Leaky_ReLU_web.png
